country,corruption,democracy,freedom,GDP_UN,HDI,homicide,life_expectancy,religion_important,log_pop
Montenegro,0.015501318546472935,-0.05767881713003228,0.044353970555849546,-0.4045893094242559,0.5001049314353893,-0.3922756714459409,0.37509890866530876,0.03814436909214116,-2.263991089663281
Senegal,-0.13905594578453798,-0.10501147025780007,0.32279834126757206,-0.6871430188847094,-1.6116784882212296,-0.6223892961985188,-0.8826511411619814,1.0359021717337946,0.012627629982764127
Bulgaria,-0.19057503389487496,0.3872481222709867,0.5664371656403292,-0.2931803241117036,0.4135018258974205,-0.5012768621182147,0.12354889869984914,-1.4385371788175056,-0.5781806012229539
Hungary,-0.13905594578453798,0.3162491425793346,0.2531872485896414,-0.01507014737136422,0.666649365162252,-0.3559419412218497,0.37509890866530876,-1.238985618289175,-0.3512177441429221
Jamaica,-0.08753685767420101,0.586045265407612,0.6360482583182598,-0.5402315814269153,-0.1327639167266889,4.658112829702741,0.0396988953780306,-0.0017659430135250087,-1.1827559406910733
Romania,-0.03601776956386404,0.2405168975749062,0.7404648973351557,-0.1616609175194594,0.4934431540863147,-0.5012768621182147,0.2632989042362147,0.556978426465801,0.13323598165652006
South Africa,-0.08753685767420101,0.5481791429053977,0.6012427119792946,-0.5205792563039362,-0.29930835045355175,3.7497695741004597,-1.4137011622001723,0.5968887385714671,0.9069209806560006
Tunisia,-0.08753685767420101,0.3304489385176651,0.32279834126757206,-0.6019371337361291,-0.09279325263224183,-0.28327448077366724,0.34714890755803524,0.9161712354167965,-0.21935990306013428
Ghana,-0.13905594578453798,0.287849550702674,0.7056593509961905,-0.6528774263625922,-0.9521625306628534,-0.4043869148539713,-1.4137011622001723,0.9959918596281284,0.4115737375542291
Argentina,-0.3966513863362228,0.5008464897776299,0.7752704436741211,-0.3656511361036681,0.6066933690205815,-0.016827125796998174,0.34714890755803524,-0.20131750354185543,0.7193719643757418
Benin,-0.19057503389487496,-0.6209373893504707,0.11396506323378017,-0.6964881804816505,-1.5583842694286336,-0.5254993489342754,-1.7351261749338125,0.9161712354167965,-0.2130256436336265
Burkina Faso,-0.19057503389487496,-1.0232649409364984,-0.2688959464948383,-0.7158656479106018,-2.0113851291657,-0.5012768621182147,-1.7630761760410851,0.7166196748884657,0.16695620447680998
